Dataset,2-Shot Mean,2-Shot STD,2-Shot Raw Values,3-Shot Mean,3-Shot STD,3-Shot Raw Values,4-Shot Mean,4-Shot STD,4-Shot Raw Values,6-Shot Mean,6-Shot STD,6-Shot Raw Values,8-Shot Mean,8-Shot STD,8-Shot Raw Values
ArrowHead,81.95,3.08,78.6111; 83.7222; 81.1667; 79.0556; 83.4444; 82.4722; 77.7500; 83.3056; 88.2778; 81.7222,84.52,2.62,90.6667; 85.0833; 84.7500; 81.8333; 84.1944; 85.7778; 80.9167; 84.0833; 83.3611; 84.5278,83.82,2.32,81.5833; 87.3056; 86.4444; 83.0556; 86.8056; 81.1944; 84.4167; 82.9444; 83.2222; 81.2500,85.45,2.66,85.3611; 79.3056; 86.0278; 85.6111; 88.4167; 87.7500; 87.3889; 86.2778; 82.8333; 85.5556,84.08,2.47,84.6944; 84.8056; 87.0556; 87.8611; 83.4167; 78.9722; 83.6111; 84.4444; 82.0833; 83.8333
BME,100.00,0.00,100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000,100.00,0.00,100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000,100.00,0.00,100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000,100.00,0.00,100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000,100.00,0.00,100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000
CBF,99.97,0.04,100.0000; 100.0000; 99.9167; 99.9167; 100.0000; 99.9444; 100.0000; 100.0000; 99.9722; 100.0000,99.89,0.10,100.0000; 100.0000; 99.8611; 99.9722; 99.6944; 99.7778; 99.9722; 99.8056; 99.9167; 99.9167,99.95,0.06,100.0000; 99.9167; 100.0000; 99.9167; 100.0000; 99.8611; 99.8611; 99.9722; 99.9722; 100.0000,99.91,0.13,100.0000; 99.7778; 99.6389; 99.8889; 99.8056; 100.0000; 99.9444; 100.0000; 100.0000; 100.0000,99.72,0.28,100.0000; 99.8333; 99.9722; 99.1667; 99.4722; 99.5556; 99.9444; 99.5278; 99.7500; 100.0000
Chinatown,98.65,0.38,99.1250; 98.8750; 98.9583; 99.2083; 98.2917; 98.0417; 98.6667; 98.4167; 98.4583; 98.4167,98.89,0.38,99.4167; 99.0000; 98.1667; 98.7917; 99.2083; 99.0000; 98.4167; 99.2083; 98.9167; 98.7917,98.81,0.25,98.8750; 99.1667; 98.7917; 99.2083; 98.8750; 98.5000; 98.4583; 98.6667; 98.8333; 98.7083,98.63,0.48,98.1667; 98.6667; 98.6667; 99.0000; 99.5000; 98.4583; 97.6667; 98.6250; 98.7500; 98.7917,98.96,0.41,99.0417; 98.3333; 98.2500; 99.3333; 99.2500; 98.7917; 98.7917; 99.0417; 99.3750; 99.3750
ECG200,89.97,1.57,92.0000; 86.6667; 88.8750; 91.5417; 89.6667; 89.3333; 90.8333; 89.8333; 89.5833; 91.3750,90.83,1.28,91.5417; 90.1250; 89.8750; 91.8333; 91.5417; 92.2083; 90.2500; 89.7083; 92.5833; 88.6667,89.97,1.93,89.0417; 87.1250; 87.5833; 91.2917; 92.5833; 91.5417; 89.6250; 92.5000; 88.8333; 89.5833,89.48,1.60,88.1667; 92.5417; 88.9583; 87.7083; 90.9167; 87.6667; 89.5833; 88.3750; 90.5417; 90.3333,89.75,1.74,87.0417; 88.0000; 89.1667; 88.1250; 90.8750; 89.0417; 90.4167; 92.5000; 91.3750; 91.0000
GunPointAgeSpan,99.77,0.21,99.7083; 100.0000; 99.8333; 99.7500; 99.2917; 99.6667; 99.9167; 100.0000; 99.7083; 99.7917,99.63,0.23,99.4167; 99.5000; 100.0000; 99.9167; 99.2500; 99.8333; 99.5417; 99.6667; 99.6250; 99.5833,99.73,0.26,100.0000; 99.7500; 99.2917; 99.9583; 99.8750; 99.6667; 99.2917; 99.7500; 99.7083; 100.0000,99.85,0.20,100.0000; 100.0000; 99.7500; 100.0000; 99.6667; 100.0000; 100.0000; 99.4583; 99.6667; 100.0000,99.70,0.35,99.3750; 100.0000; 99.9583; 99.5833; 98.9167; 99.9167; 99.9583; 100.0000; 99.7083; 99.5417
GunPointOldVersusYoung,100.00,0.00,100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000,100.00,0.00,100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000,100.00,0.00,100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000,100.00,0.00,100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000,100.00,0.00,100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000
ItalyPowerDemand,94.98,0.58,94.9167; 93.8333; 95.1667; 95.0417; 95.2917; 95.3750; 95.6667; 94.7500; 94.2500; 95.5417,95.20,0.55,95.3333; 95.7917; 94.5833; 94.9167; 95.2917; 96.0000; 95.6250; 95.1250; 94.1667; 95.1667,95.15,0.76,95.1667; 94.7500; 93.7917; 95.9583; 95.4583; 96.4583; 94.3750; 95.3333; 94.8750; 95.2917,95.34,0.40,95.0417; 95.7917; 95.7917; 95.4583; 95.7500; 95.4167; 94.8333; 95.5833; 94.8750; 94.8750,95.41,0.44,95.7083; 94.9167; 95.7917; 94.6250; 94.9167; 95.7500; 95.6667; 95.8333; 95.6250; 95.2917
MoteStrain,90.69,1.82,88.3333; 87.9583; 92.2083; 92.0417; 90.9583; 91.7917; 91.7500; 88.5833; 90.2500; 93.0417,90.26,1.28,93.0833; 89.3750; 88.8333; 89.4167; 91.7917; 89.9583; 90.1250; 90.6250; 89.6250; 89.7917,90.46,0.74,91.0417; 89.1250; 91.3333; 89.3750; 90.4167; 91.3333; 90.6667; 90.3750; 90.4167; 90.5417,90.82,1.47,92.3333; 91.8333; 88.7917; 92.2500; 89.2917; 89.0833; 90.3333; 89.9583; 91.8750; 92.4167,91.12,1.25,89.3750; 92.4167; 89.8750; 92.0417; 89.5000; 91.3333; 93.0417; 90.6250; 91.2917; 91.7083
Plane,100.00,0.00,100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000,100.00,0.00,100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000,100.00,0.00,100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000,100.00,0.00,100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000,100.00,0.00,100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000; 100.0000
